Wurfl_Id,wurfl_device_id,wurfl_fall_back,brand_name,model_name,marketing_name,SubMethod_Displayed,SubMethod_SubscribedTo,SubMethod,Visits,Visits_ToOperatorSelection,Visits_ToOperatorSelectionOnly,Submission_OperatorSelection,Visits_ToLandingPage,Submissions,Subscribers,device_os,device_os_version,release_date,mobile_browser
7490,nokia_n82_ver1_sub110117,nokia_n82_ver1_sub100046,Nokia,N82,,3,NULL,CLICKTAG,2,0,0,0,2,0,0,Symbian OS,9.2,2007_november,Safari
7490,nokia_n82_ver1_sub110117,nokia_n82_ver1_sub100046,Nokia,N82,,NULL,NULL,NULL,7,0,0,0,7,0,0,Symbian OS,9.2,2007_november,Safari
7490,nokia_n82_ver1_sub110117,nokia_n82_ver1_sub100046,Nokia,N82,,3,3,CLICKTAG,1,0,0,0,1,1,1,Symbian OS,9.2,2007_november,Safari
7507,samsung_sgh_d880_ver1,opwv_v62_generic,Samsung,SGH-D880,DuoS,NULL,NULL,NULL,4,0,0,0,4,0,0,,,2003_january,Openwave Mobile Browser
7507,samsung_sgh_d880_ver1,opwv_v62_generic,Samsung,SGH-D880,DuoS,3,NULL,CLICKTAG,2,0,0,0,2,0,0,,,2003_january,Openwave Mobile Browser
7518,nokia_5700_ver1_sub_safari3831,nokia_5700_ver1_sub_safari,Nokia,5700,XpressMusic,3,NULL,CLICKTAG,3,0,0,0,3,0,0,Symbian OS,9.2,2007_march,Safari
7518,nokia_5700_ver1_sub_safari3831,nokia_5700_ver1_sub_safari,Nokia,5700,XpressMusic,NULL,NULL,NULL,2,0,0,0,2,0,0,Symbian OS,9.2,2007_march,Safari
7524,nokia_n76_ver1_subua310014,nokia_n76_ver1_subua,Nokia,N76,,3,NULL,CLICKTAG,3,0,0,0,3,0,0,Symbian OS,9.2,2007_january,Safari
7524,nokia_n76_ver1_subua310014,nokia_n76_ver1_subua,Nokia,N76,,NULL,NULL,NULL,3,0,0,0,3,0,0,Symbian OS,9.2,2007_january,Safari
7565,nokia_5310_xpressmusic_ver1_subua,nokia_5310_xpressmusic_ver1,Nokia,5310 XpressMusic,XpressMusic,3,NULL,CLICKTAG,2,0,0,0,2,0,0,,,2007_august,Nokia
7596,nokia_6300_ver1_sub0550,nokia_6300_ver1,Nokia,6300,,3,3,CLICKTAG,2,0,0,0,2,2,2,,,2006_november,Nokia
7596,nokia_6300_ver1_sub0550,nokia_6300_ver1,Nokia,6300,,3,NULL,CLICKTAG,10,0,0,0,10,0,0,,,2006_november,Nokia
7612,mot_v3i_ver1_sub08b434r,mot_v3i_ver1,Motorola,RAZR V3i,RAZR,3,NULL,CLICKTAG,1,0,0,0,1,0,0,,,2002_january,Motorola Internet Browser
7668,nokia_n73_ver1_sub407473101,nokia_n73_ver1,Nokia,N73,,NULL,NULL,NULL,5,0,0,0,5,0,0,Symbian OS,9.1,2005_november,Nokia
7668,nokia_n73_ver1_sub407473101,nokia_n73_ver1,Nokia,N73,,3,NULL,CLICKTAG,3,0,0,0,3,0,0,Symbian OS,9.1,2005_november,Nokia
7676,nokia_6230i_ver1_sub0388,nokia_6230i_ver1,Nokia,6230i,,3,NULL,CLICKTAG,4,0,0,0,4,0,0,,,2005_march,Nokia
7676,nokia_6230i_ver1_sub0388,nokia_6230i_ver1,Nokia,6230i,,3,3,CLICKTAG,2,0,0,0,2,2,2,,,2005_march,Nokia
7679,nokia_n95_ver1_sub_8gb_vf3g,nokia_n95_8gb_ver1,Nokia,N95 8GB,,NULL,NULL,NULL,15,0,0,0,15,0,0,Symbian OS,9.2,2007_august,Safari
7679,nokia_n95_ver1_sub_8gb_vf3g,nokia_n95_8gb_ver1,Nokia,N95 8GB,,3,3,CLICKTAG,3,0,0,0,3,3,3,Symbian OS,9.2,2007_august,Safari
7679,nokia_n95_ver1_sub_8gb_vf3g,nokia_n95_8gb_ver1,Nokia,N95 8GB,,3,NULL,CLICKTAG,25,0,0,0,25,0,0,Symbian OS,9.2,2007_august,Safari
7680,nokia_6300_ver1_sub0500,nokia_6300_ver1,Nokia,6300,,3,3,CLICKTAG,1,0,0,0,1,1,1,,,2006_november,Nokia
7680,nokia_6300_ver1_sub0500,nokia_6300_ver1,Nokia,6300,,3,NULL,CLICKTAG,7,0,0,0,7,0,0,,,2006_november,Nokia
7683,nokia_n95_ver1_sub3_sub210016,nokia_n95_ver1_sub100014,Nokia,N95,,3,NULL,CLICKTAG,1,0,0,0,1,0,0,Symbian OS,9.2,2006_september,Safari
